index,Name,Short Name,Gender,Type,Family,Tradition,General Personality,major_id,Major Name,floor_id,Eggie Wing,Wing Name,Room,Schedule,Cause of Death,Eggie Rank,Eggie Grade,DrakeRezCode,Drake Residence,Drake Grades
47,Anarchion Stormclaw,L.C.,F,Havoc,planar,divine,passionate artists,10,Eldritch Engineering,1,1N,Exalted,22,2E,Fall-Soph,500,F,9,Terrashield Keep,
48,Opalnight Celestia,Crater,M,Moonstone,jewel,divine,wise and gentle storytellers and teachers,12,Elemental Binding,1,1N,Exalted,23,2E,Fall-Soph,500,F,9,Terrashield Keep,
49,Copperwing Stoneclaw,Acerax,F,Copper,metallic,arcane,prankster & hedonist,12,Elemental Binding,1,1N,Exalted,24,2E,Fall-Soph,500,F,9,Terrashield Keep,
50,Saltgazer Seabreath,Jenereaux,M,Bronze,metallic,arcane,stoic scholars and guardians of lore,2,Dragon History,1,1N,Exalted,25,2E,Fall-Soph,500,F,9,Terrashield Keep,
51,Goldheart Brightwing,,F,Gold,metallic,divine,wise counselor and leader,1,Prophecy,3,1S,Stellar,1,3A,Fall-Soph,500,F,4,Crystalmount Rise,
52,Frostclaw Silverheart,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",10,Eldritch Engineering,3,1S,Stellar,2,3A,Fall-Soph,500,F,4,Crystalmount Rise,
53,Goldenmane Sunscale,,F,Gold,metallic,divine,wise counselor and leader,10,Eldritch Engineering,3,1S,Stellar,3,3A,Fall-Soph,500,F,4,Crystalmount Rise,
54,Glitterbinder Goldscale,,M,Gold,metallic,divine,wise counselor and leader,10,Eldritch Engineering,3,1S,Stellar,4,3A,Fall-Soph,500,F,4,Crystalmount Rise,
55,Thunderbolt Zephyrclaw,,M,Blue,chromatic,arcane,poised cosmopolitan manipulators,10,Eldritch Engineering,3,1S,Stellar,5,3A,Fall-Soph,500,F,4,Crystalmount Rise,
56,Frostbinder Silvermane,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",12,Elemental Binding,3,1S,Stellar,6,4B,May death,500,F,99,Graveyard,
57,Wildfire Cinderclaw,,F,Red,chromatic,arcane,proud and arrogant,10,Eldritch Engineering,3,1S,Stellar,7,4B,May death,500,F,99,Graveyard,
58,Brightbreath Sunscale,,M,Gold,metallic,divine,wise counselor and leader,11,Arcanomechanics,3,1S,Stellar,8,4B,May death,500,F,99,Graveyard,
59,Emeraldarion,,F,Emerald,jewel,arcane,"inquisitive, knowledgeable sage",8,Political Intrigue and Diplomacy,3,1S,Stellar,9,4B,May death,500,F,99,Graveyard,
60,Sunheart Goldbinder,,M,Gold,metallic,divine,wise counselor and leader,8,Political Intrigue and Diplomacy,3,1S,Stellar,10,4B,May death,500,F,99,Graveyard,
61,Moonwhisper Starbreath,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",11,Arcanomechanics,3,1S,Stellar,11,1C,,395,D+,9,Terrashield Keep,
62,Mossheart Poisonwing,,M,Green,chromatic,arcane,obessive and meticulous scholars,2,Dragon History,3,1S,Stellar,12,1C,,242,C,9,Terrashield Keep,
63,Vapormane Zephyra,,F,Cloud,primal,primal,wander & exlpore,4,Economic Dominance and Resource Management,3,1S,Stellar,13,1C,,120,B-,9,Terrashield Keep,
64,Darktail Eclipse,,F,Umbral,primal,primal,malicious hunters of the undead,6,Arcane Artifice and Enchantment Studies,3,1S,Stellar,14,1C,,40,B+,9,Terrashield Keep,
65,Embermaw Calderon,,M,Magma,primal,primal,"brash, unpredictable, & violent",9,Magical Theory and Application,3,1S,Stellar,15,1C,,378,D+,9,Terrashield Keep,
66,Sunscale Blazeclaw,,F,Brass,metallic,arcane,curious & short attention span,6,Arcane Artifice and Enchantment Studies,3,1S,Stellar,16,2D,May death,500,F,99,Graveyard,
67,Silverscale Luminar,,M,Moonstone,jewel,divine,wise and gentle storytellers and teachers,10,Eldritch Engineering,3,1S,Stellar,17,2D,May death,500,F,99,Graveyard,
68,Goldenwing Sunheart,,M,Gold,metallic,divine,wise counselor and leader,11,Arcanomechanics,3,1S,Stellar,18,2D,May death,500,F,99,Graveyard,
69,Droughtspirit Flamebinder,,M,Brass,metallic,arcane,curious & short attention span,3,Ancient Relics and Artifacts:,3,1S,Stellar,19,2D,May death,500,F,99,Graveyard,
70,Ageless Momentarix,,M,Time,outer,arcane,patient watchers and guardians of history,11,Arcanomechanics,3,1S,Stellar,20,2D,May death,500,F,99,Graveyard,
71,Lightbinder Goldclaw,,M,Gold,metallic,divine,wise counselor and leader,1,Prophecy,3,1S,Stellar,21,3E,,75,B,12,Mistwood Shoals,
72,Heatscale Flametail,,F,Brass,metallic,arcane,curious & short attention span,5,Mineral Extraction & Refinement,3,1S,Stellar,22,3E,,325,C-,12,Mistwood Shoals,
73,Gloomwing Nocturna,,F,Umbral,primal,primal,malicious hunters of the undead,3,Ancient Relics and Artifacts:,3,1S,Stellar,23,3E,,58,B+,12,Mistwood Shoals,
74,Sunheart Glimmerclaw,,F,Gold,metallic,divine,wise counselor and leader,9,Magical Theory and Application,3,1S,Stellar,24,3E,,245,C,12,Mistwood Shoals,
75,Foulwind Nightswirl,,F,Black,chromatic,arcane,loaners with mean streaks & like swamps,10,Eldritch Engineering,3,1S,Stellar,25,3E,,154,C+,12,Mistwood Shoals,
76,Shadowflame Netherwing,,F,Underworld,imperial,arcane,natural alchemists and hoarders,10,Eldritch Engineering,4,1W,Wisp,1,4A,,190,C+,17,Cirrus Vale,
77,Nightveil Umbra,,M,Umbral,primal,primal,malicious hunters of the undead,11,Arcanomechanics,4,1W,Wisp,2,4A,,24,A-,17,Cirrus Vale,
78,Cinderfang Fireclaw,,M,Red,chromatic,arcane,proud and arrogant,4,Economic Dominance and Resource Management,4,1W,Wisp,3,4A,,1,A+,17,Cirrus Vale,
79,Shadowmire Toxicscale,,F,Black,chromatic,arcane,loaners with mean streaks & like swamps,3,Ancient Relics and Artifacts:,4,1W,Wisp,4,4A,,283,C-,17,Cirrus Vale,
80,Oceanmaw Tidewinder,,M,Sea,imperial,arcane,ind & fickle,2,Dragon History,4,1W,Wisp,5,4A,,186,C+,17,Cirrus Vale,
81,Saltmane Bronzetail,,F,Bronze,metallic,arcane,stoic scholars and guardians of lore,7,Planar Studies,4,1W,Wisp,6,1B,Nov/Dec Ambush,500,F,99,Graveyard,
82,Tidewing Oceanheart,,M,Bronze,metallic,arcane,stoic scholars and guardians of lore,4,Economic Dominance and Resource Management,4,1W,Wisp,7,1B,Nov/Dec Ambush,500,F,99,Graveyard,
83,Winterclaw Glacierscale,,F,White,chromatic,arcane,brutish and predatory survivalists,9,Magical Theory and Application,4,1W,Wisp,8,1B,Nov/Dec Ambush,500,F,99,Graveyard,
84,Earthclaw Copperheart,,F,Copper,metallic,arcane,prankster & hedonist,3,Ancient Relics and Artifacts:,4,1W,Wisp,9,1B,Nov/Dec Ambush,500,F,99,Graveyard,
85,Kelpwing Abyssalor,,F,Brine,primal,primal,rigid courtsey & discipline,10,Eldritch Engineering,4,1W,Wisp,10,1B,Nov/Dec Ambush,500,F,99,Graveyard,
86,Oozeback Bogwhisper,,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,6,Arcane Artifice and Enchantment Studies,4,1W,Wisp,11,2C,,237,C,13,Pearl Current Row,
87,Shadowheart Duskfang,,M,Umbral,primal,primal,malicious hunters of the undead,12,Elemental Binding,4,1W,Wisp,12,2C,,364,D+,13,Pearl Current Row,
88,Jadebreeze Folium,,M,Emerald,jewel,arcane,"inquisitive, knowledgeable sage",8,Political Intrigue and Diplomacy,4,1W,Wisp,13,2C,,275,C-,13,Pearl Current Row,
89,Saltfang Brinewave,,F,Brine,primal,primal,rigid courtsey & discipline,1,Prophecy,4,1W,Wisp,14,2C,,50,B+,13,Pearl Current Row,
90,Bogsneak Nocturne,,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,2,Dragon History,4,1W,Wisp,15,2C,,308,C-,13,Pearl Current Row,
91,Royaltear Oceanix,,F,Sapphire,jewel,Occult,Militaristic and warlike,12,Elemental Binding,4,1W,Wisp,16,3D,,271,C-,2,Cinderwalk Court,
92,Thunderclaw Zephyrwing,,M,Blue,chromatic,arcane,poised cosmopolitan manipulators,1,Prophecy,4,1W,Wisp,17,3D,,351,D+,2,Cinderwalk Court,
93,Skyscale Azurebreath,,M,Blue,chromatic,arcane,poised cosmopolitan manipulators,8,Political Intrigue and Diplomacy,4,1W,Wisp,18,3D,,231,C,2,Cinderwalk Court,
94,Radiantfire Helios,,M,Solar,outer,arcane,uber arrogant,3,Ancient Relics and Artifacts:,4,1W,Wisp,19,3D,,20,A-,2,Cinderwalk Court,
95,Heatsinger Warmheart,,F,Brass,metallic,arcane,curious & short attention span,9,Magical Theory and Application,4,1W,Wisp,20,3D,,70,B,2,Cinderwalk Court,
96,Icewing Glacialfang,,F,White,chromatic,arcane,brutish and predatory survivalists,7,Planar Studies,4,1W,Wisp,21,4E,,137,B-,5,Ashspire Hollow,
97,Deepswell Aquarion,,F,Sea,imperial,arcane,ind & fickle,3,Ancient Relics and Artifacts:,4,1W,Wisp,22,4E,,294,C-,5,Ashspire Hollow,
98,Stoneheart Terrascale,,M,Copper,metallic,arcane,prankster & hedonist,10,Eldritch Engineering,4,1W,Wisp,23,4E,,214,C,5,Ashspire Hollow,
99,Emeraldclaw Poisonspine,,F,Green,chromatic,arcane,obessive and meticulous scholars,3,Ancient Relics and Artifacts:,4,1W,Wisp,24,4E,,150,C+,5,Ashspire Hollow,
100,Warmbreath Desertclaw,,F,Brass,metallic,arcane,curious & short attention span,2,Dragon History,4,1W,Wisp,25,4E,,406,D,5,Ashspire Hollow,
101,Lavadragon Scorchscale,,M,Red,chromatic,arcane,proud and arrogant,12,Elemental Binding,6,2E,Eclipse,1,1A,,126,B-,18,Galeholm Fields,
102,Mystarion Arcanum,,M,Occult,esoteric,Occult,eclectic seekers,10,Eldritch Engineering,6,2E,Eclipse,2,1A,,356,D+,18,Galeholm Fields,
103,Stoneclaw Earthheart,,F,Copper,metallic,arcane,prankster & hedonist,7,Planar Studies,6,2E,Eclipse,3,1A,,290,C-,18,Galeholm Fields,
104,Seabinder Stormscale,,M,Bronze,metallic,arcane,stoic scholars and guardians of lore,8,Political Intrigue and Diplomacy,6,2E,Eclipse,4,1A,,87,B,18,Galeholm Fields,
105,Crimsonflame Scorchwing,,F,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,5,Mineral Extraction & Refinement,6,2E,Eclipse,5,1A,,136,B-,18,Galeholm Fields,
106,Patchwork Pantomime,,M,Harlequin,wild,arcane,clever and insightful jesters,6,Arcane Artifice and Enchantment Studies,6,2E,Eclipse,6,2B,Fall Soph,500,F,19,Whirlwind Rise,
107,Seabreath Coastgazer,,F,Bronze,metallic,arcane,stoic scholars and guardians of lore,5,Mineral Extraction & Refinement,6,2E,Eclipse,7,2B,Fall Soph,500,F,19,Whirlwind Rise,
108,Blazeclaw Sunbreath,,F,Brass,metallic,arcane,curious & short attention span,8,Political Intrigue and Diplomacy,6,2E,Eclipse,8,2B,Fall Soph,500,F,19,Whirlwind Rise,
109,Voltlord Skythunder,,M,Blue,chromatic,arcane,poised cosmopolitan manipulators,1,Prophecy,6,2E,Eclipse,9,2B,Fall Soph,500,F,19,Whirlwind Rise,
110,Blazewing Cinderheart,,M,Red,chromatic,arcane,proud and arrogant,8,Political Intrigue and Diplomacy,6,2E,Eclipse,10,2B,Fall Soph,500,F,19,Whirlwind Rise,
111,Lightningstrike Azurefang,,F,Blue,chromatic,arcane,poised cosmopolitan manipulators,10,Eldritch Engineering,6,2E,Eclipse,11,3C,,352,D+,3,Pyre Crest,
112,Tidestorm Bronzefang,,M,Bronze,metallic,arcane,stoic scholars and guardians of lore,6,Arcane Artifice and Enchantment Studies,6,2E,Eclipse,12,3C,,274,C-,3,Pyre Crest,
113,Kaleidoscale Jester,,M,Harlequin,wild,arcane,clever and insightful jesters,10,Eldritch Engineering,6,2E,Eclipse,13,3C,,202,C,3,Pyre Crest,
114,Royalshimmer Deepshade,,F,Indigo,wild,arcane,party going revelers,3,Ancient Relics and Artifacts:,6,2E,Eclipse,14,3C,,228,C,3,Pyre Crest,
115,Glacierheart Snowbinder,,F,White,chromatic,arcane,brutish and predatory survivalists,4,Economic Dominance and Resource Management,6,2E,Eclipse,15,3C,,381,D+,3,Pyre Crest,
116,Quartzspirit Glimmer,,M,Crystal,primal,primal,build beautiful homes,9,Magical Theory and Application,6,2E,Eclipse,16,4D,,86,B,14,Stormbay Landing,
117,Abyssfang Darkmare,,F,Underworld,imperial,arcane,natural alchemists and hoarders,7,Planar Studies,6,2E,Eclipse,17,4D,,257,C,14,Stormbay Landing,
118,Venomlord Blackspike,,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,10,Eldritch Engineering,6,2E,Eclipse,18,4D,,72,B,14,Stormbay Landing,
119,Warmtail Emberclaw,,F,Brass,metallic,arcane,curious & short attention span,11,Arcanomechanics,6,2E,Eclipse,19,4D,,132,B-,14,Stormbay Landing,
120,Abyssclaw Darkswirl,,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,9,Magical Theory and Application,6,2E,Eclipse,20,4D,,185,C+,14,Stormbay Landing,
121,Gloomtalon Undercrypt,,F,Underworld,imperial,arcane,natural alchemists and hoarders,8,Political Intrigue and Diplomacy,6,2E,Eclipse,21,1E,,289,C-,3,Pyre Crest,
122,Seaheart Wavewing,,F,Bronze,metallic,arcane,stoic scholars and guardians of lore,8,Political Intrigue and Diplomacy,6,2E,Eclipse,22,1E,,176,C+,3,Pyre Crest,
123,Bronzewing Tideclaw,,M,Bronze,metallic,arcane,stoic scholars and guardians of lore,7,Planar Studies,6,2E,Eclipse,23,1E,,254,C,3,Pyre Crest,
124,Earthmane Copperwing,,F,Copper,metallic,arcane,prankster & hedonist,5,Mineral Extraction & Refinement,6,2E,Eclipse,24,1E,,403,D,3,Pyre Crest,
125,Galefang Skyshard,,F,Blue,chromatic,arcane,poised cosmopolitan manipulators,9,Magical Theory and Application,6,2E,Eclipse,25,1E,,164,C+,3,Pyre Crest,
126,Cobaltfang Glacius,Corrundus,M,Sapphire,jewel,Occult,Militaristic and warlike,5,Mineral Extraction & Refinement,5,2N,Nebula,1,2A,,348,D+,2,Cinderwalk Court,
127,Flamebinder Moltenfang,Blazeagon,M,Red,chromatic,arcane,proud and arrogant,11,Arcanomechanics,5,2N,Nebula,2,2A,,333,C-,2,Cinderwalk Court,
128,Dusktail Twilight,Saxonia,F,Indigo,wild,arcane,party going revelers,12,Elemental Binding,5,2N,Nebula,3,2A,,359,D+,2,Cinderwalk Court,
129,Bramblewing Emeraldscale,Rekker,M,Green,chromatic,arcane,obessive and meticulous scholars,3,Ancient Relics and Artifacts:,5,2N,Nebula,4,2A,,234,C,2,Cinderwalk Court,
130,Sludgeheart Darkmist,Mordred,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,8,Political Intrigue and Diplomacy,5,2N,Nebula,5,2A,,13,A,2,Cinderwalk Court,
131,Stonefang Earthwing,Copernicus,M,Copper,metallic,arcane,prankster & hedonist,8,Political Intrigue and Diplomacy,5,2N,Nebula,6,3B,,374,D+,15,Moonwater Falls,
132,Mossbinder Ivyheart,Goofus,M,Green,chromatic,arcane,obessive and meticulous scholars,8,Planar Studies,5,2N,Nebula,7,3B,,64,B,15,Moonwater Falls,
133,Stormwing Boltfang,Stormy,F,Blue,chromatic,arcane,poised cosmopolitan manipulators,7,Political Intrigue and Diplomacy,5,2N,Nebula,8,3B,French Accent,300,C-,15,Moonwater Falls,
134,Waveclaw Seabinder,Stanus,M,Bronze,metallic,arcane,stoic scholars and guardians of lore,7,Dragon History,5,2N,Nebula,9,3B,,413,D,15,Moonwater Falls,
135,Emeraldgaze Ivyheart,Gallant,M,Green,chromatic,arcane,obessive and meticulous scholars,2,Planar Studies,5,2N,Nebula,10,3B,,261,C,15,Moonwater Falls,
136,Earthwing Stonebinder,Kepler,F,Copper,metallic,arcane,prankster & hedonist,7,Planar Studies,5,2N,Nebula,11,4C,,2,A+,8,Crystal Mantle,
137,Mossclaw Greenheart,Ebenezer,M,Green,chromatic,arcane,obessive and meticulous scholars,10,Eldritch Engineering,5,2N,Nebula,12,4C,Elderly Seeming,61,B+,8,Crystal Mantle,
138,Windrider Lightningtail,Voltaire,M,Blue,chromatic,arcane,poised cosmopolitan manipulators,12,Elemental Binding,5,2N,Nebula,13,4C,,84,B,8,Crystal Mantle,
139,Regalix Crownwing,Tybalt,M,Soverign,imperial,Occult,"subtle manipulators, negotiators",1,Prophecy,5,2N,Nebula,14,4C,,243,C,8,Crystal Mantle,
140,Warmwind Sandgaze,Bellaluna,F,Brass,metallic,arcane,curious & short attention span,10,Eldritch Engineering,5,2N,Nebula,15,4C,,342,C-,8,Crystal Mantle,
141,Infernoheart Hellion,Specter,F,Underworld,imperial,arcane,natural alchemists and hoarders,7,Planar Studies,5,2N,Nebula,16,1D,,339,C-,9,Terrashield Keep,
142,Moltenlord Furnaceheart,Brando,M,Red,chromatic,arcane,proud and arrogant,11,Arcanomechanics,5,2N,Nebula,17,1D,,81,B,9,Terrashield Keep,
143,Blackhole Seraphox,Oberon,M,Void,outer,arcane,corrupted destroyers,3,Ancient Relics and Artifacts:,5,2N,Nebula,18,1D,,21,A-,9,Terrashield Keep,
144,Lightningheart Thunderclaw,Brix,M,Blue,chromatic,arcane,poised cosmopolitan manipulators,1,Prophecy,5,2N,Nebula,19,1D,,410,D,9,Terrashield Keep,
145,Groveshadow Verdantclaw,Astrid,F,Green,chromatic,arcane,obessive and meticulous scholars,3,Ancient Relics and Artifacts:,5,2N,Nebula,20,1D,,262,C,9,Terrashield Keep,
146,Celedyr,Celedry,M,Vortex,outer,arcane,,,Dont Know,,2N,Nebula,21,2E,,18,A-,8,Crystal Mantle,
147,Aura,Aura,F,Blue White,chromatic,arcane,,,Elemental Binding,,2N,Nebula,22,2E,,4,A+,8,Crystal Mantle,
148,Nara,Nara,F,Time,outer,arcane,,,Prophecy,,2N,Nebula,23,2E,,55,B+,8,Crystal Mantle,
149,Iyre,Iyre,F,Wellspring,,,,,Dont Know,,2N,Nebula,24,2E,,10,A,8,Crystal Mantle,
150,Gullin,Gullin,M,,,,,,,,2N,Nebula,25,2E,,134,B-,8,Crystal Mantle,
151,Hellfire Scorchwing,,F,Infernal,planar,divine,tyranical deal brokers,7,Planar Studies,7,2S,Starlight,1,3A,,14,A,18,Galeholm Fields,
152,Silverscale Moonbinder,,F,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",9,Magical Theory and Application,7,2S,Starlight,2,3A,,307,C-,18,Galeholm Fields,
153,Moltenbreath Firemaw,,F,Red,chromatic,arcane,proud and arrogant,11,Arcanomechanics,7,2S,Starlight,3,3A,,354,D+,18,Galeholm Fields,
154,Lightwing Sunheart,,M,Gold,metallic,divine,wise counselor and leader,8,Political Intrigue and Diplomacy,7,2S,Starlight,4,3A,,327,C-,18,Galeholm Fields,
155,Moonfang Starclaw,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",4,Economic Dominance and Resource Management,7,2S,Starlight,5,3A,,195,C,18,Galeholm Fields,
156,Cyclonix Whirlrend,,M,Vortex,outer,arcane,interplanetary messengers,6,Arcane Artifice and Enchantment Studies,7,2S,Starlight,6,4B,,5,A+,11,Tidepool Grotto,
157,Forestheart Mossfang,,M,Green,chromatic,arcane,obessive and meticulous scholars,2,Dragon History,7,2S,Starlight,7,4B,,106,B-,11,Tidepool Grotto,
